,completeness,number_of_cds,type,length
MarDB_Halodesulfovibrio_sp_strain_SZUA-473,97.04,3205,MAG,3436273
MarDB_Desulfonauticus_submarinus_strain_DSM_15269,98.81,2057,WGS,2100697
MarDB_Anabaena_sp_4-3,99.56,4718,WGS,5603768
MAGsDB_NYUA01,77.72,2567,MAG,2564067
ProGenomes_1121861_PRJNA182402,99.25,4131,WGS,4304237
MarDB_Hydrogenovibrio_marinus,99.39,2497,WGS,2609306
ProGenomes_1120792_PRJNA195701,100.0,4117,WGS,4382767
MarDB_Paracoccus_homiensis_strain_DSM_17862,99.39,3841,WGS,3868264
MAGsDB_TARA_PSW_MAG_00024,90.57,1724,MAG,1569057
MAGsDB_DJZG01,87.84,2844,MAG,3117755
ProGenomes_1484479_PRJNA243308,98.34,2980,WGS,2853500
MarDB_Kushneria_aurantia,99.09,3515,WGS,3750692
MarDB_GCF_003751635.1_ASM375163v1,98.24,2485,WGS,2608718
MarDB_Bacillus_filamentosus_DSM_27955,99.33,5142,WGS,5149214
MarDB_Porphyrobacter_sanguineus_strain_DSM_11032,99.48,2815,WGS,2978799
MarRef_Gramella_sp_MAR_2010_147,99.62,2830,WGS,3158584
MAGsDB_DKLZ01,86.98,1737,MAG,1794032
MarDB_Neptunomonas_phycophila_strain_CECT_8716,100.0,3525,WGS,3876500
MAGsDB_DCQB01,78.83,2876,MAG,2910948
MarDB_GCF_003688895.1_ASM368889v1,99.62,3246,WGS,3651050
MAGsDB_DGPO01,92.92,2353,MAG,2392793
MAGsDB_TARA_RED_MAG_00041,84.79,1991,MAG,2113769
MarDB_Prochlorococcus_sp_AG-402-M15,97.28,1853,SAG,1605846
MarDB_Streptococcus_penaeicida_strain_CAIM_1838,98.6,2155,WGS,2051969
MarDB_Chloroflexi_bacterium_strain_TK10-74A,80.86,2326,MAG,2449859
MarDB_GCA_003647825.1_ASM364782v1,78.76,1849,MAG,2040590
MAGsDB_DKQI01,82.1,1332,MAG,1338958
MarRef_Filomicrobium_sp_W1,98.25,3742,WGS,3969942
MarDB_GCA_003520025.1_ASM352002v1,82.94,2062,MAG,2129427
MAGsDB_TARA_RED_MAG_00001,99.14,2755,MAG,2849757
MarDB_GCF_003751625.1_ASM375162v1,99.82,3876,WGS,4190752
MarDB_endosymbiont_of_Loripes_lucinalis_strain_G_D,99.59,4060,MAG,4503079
ProGenomes_289377_PRJNA12531,99.17,1744,WGS,1764045
ProGenomes_572477_PRJNA32547,99.74,3093,WGS,3526903
MarDB_Gammaproteobacteria_bacterium_Z1,98.99,3263,WGS,4057828
MarDB_Nonlabens_xylanidelens_strain_DSM_16809_2,98.54,2999,WGS,3276842
ProGenomes_85643_PRJNA20091,100.0,3978,WGS,4496212
MAGsDB_TARA_MED_MAG_00054,84.62,1350,MAG,1233820
MarDB_Ohtaekwangia_koreensis_DSM_25262,99.84,5905,WGS,7241272
MarDB_Synechococcus_sp_AG-670-A05,81.39,2412,SAG,2005017
MAGsDB_PBUF01,75.96,2794,MAG,2877862
MarDB_Vibrio_nigripulchritudo,98.77,5779,WGS,6113583
MAGsDB_PALA01,98.16,4559,MAG,4779610
MarDB_SAR324_cluster_bacterium_REDSEA-S45_B3,91.26,2959,MAG,3167234
MarDB_Vibrio_sp_CAIM_1076,97.73,5070,WGS,4767844
MarDB_Pseudoalteromonas_sp_T1lg75,99.31,3302,WGS,3654476
MarDB_Psychrilyobacter_atlanticus,98.88,3305,WGS,3539326
MAGsDB_DLCB01,98.13,3834,MAG,4180409
MarDB_Cryomorphaceae_bacterium_BACL7_MAG-120910-bin24,91.15,3094,MAG,2763625
MAGsDB_NZHI01,80.15,2079,MAG,1803804
MarDB_GCF_003718685.1_ASM371868v1,99.94,3314,WGS,3763273
MAGsDB_NZAK01,85.24,3907,MAG,4285735
MarRef_Lactococcus_garvieae_strain_122061,100.0,1978,WGS,2000108
MarDB_Flavobacterium_sp_TAB87,99.29,3343,WGS,3827406
MarDB_Streptomycetaceae_bacterium_MP113-05,92.98,5285,WGS,5961648
MarDB_Psychromonas_sp_CNPT3,100.0,2586,WGS,3052411
MarDB_marine_metagenome_2,83.2,1719,MAG,2064137
MarDB_Salinispora_pacifica_CNT148,99.16,4770,WGS,5061189
MarDB_Sulfurimonas_sp_strain_NORP9,98.77,2638,MAG,2494119
MAGsDB_PBDP01,91.75,1442,MAG,1437644
MarDB_Pseudochrobactrum_sp_B5,100.0,3734,WGS,4052697
MarDB_Cupriavidus_sp_SK-3,88.43,6914,WGS,7429146
MarDB_GCA_003523185.1_ASM352318v1,89.25,2486,MAG,2586904
MarDB_GCF_003362725.1_ASM336272v1,99.01,2803,WGS,3102160
MarDB_Cellulophaga_fucicola_strain_DSM_24786,99.67,3461,WGS,3922042
ProGenomes_694430_PRJNA46985,99.73,4007,WGS,4013216
MAGsDB_DDFX01,96.7,3794,MAG,3822663
MarDB_GCA_003662985.1_ASM366298v1,78.52,2652,MAG,2151393
MarDB_Croceicoccus_sp_Ery22,99.35,3955,WGS,4210080
MAGsDB_TARA_ION_MAG_00004,99.0,3180,MAG,3376283
MarDB_Prochlorococcus_sp_AG-347-I04,90.04,1667,SAG,1473772
MarDB_Nereida_ignava_DSM_16309,99.09,2850,WGS,2837945
MarDB_Bacillus_sp_B14905,93.16,4442,WGS,4497272
MarDB_Bacteroidetes_bacterium_MedPE-SWsnd-G2,99.01,2715,MAG,3035084
MarDB_Vibrio_quintilis_strain_CECT_7734,92.64,5203,WGS,5712824
MAGsDB_NYSS01,95.83,4063,MAG,5071512
MarDB_Thiotrichaceae_bacterium_UBA5859,96.11,2784,MAG,3025081
MAGsDB_DIAM01,97.03,3230,MAG,3667015
MarDB_Micromonospora_pattaloongensis_strain_DSM_45245,100.0,4878,WGS,5353874
MarDB_Streptomyces_sp_JS01,99.84,7052,WGS,7799376
MarDB_Synechococcus_sp_WH8016,99.18,2998,WGS,2694844
MarDB_Marinobacterium_litorale,100.0,4227,WGS,4380401
MarRef_Prosthecochloris_sp_CIB_2401,98.9,2233,WGS,2399850
MarDB_Yersinia_frederiksenii_IP23698,99.95,4181,WGS,4727398
MAGsDB_PAKP01,90.0,3347,MAG,3323472
MarDB_SAR116_cluster_bacterium_AG-426-I14,75.48,1964,SAG,1876955
MarDB_Thalassobius_mediterraneus_CECT_8383,99.04,3301,WGS,3431658
MAGsDB_PAYS01,85.3,1711,MAG,1668993
MarDB_Prochlorococcus_sp_AG-347-K19,92.07,1693,SAG,1469081
MarDB_Clostridium_botulinum_strain_Hazen,99.19,3538,WGS,3821401
MarRef_Candidatus_Vesicomyosocius_okutanii_HA,93.54,976,WGS,1022155
MarDB_GCA_003332015.1_ASM333201v1,80.07,1332,MAG,1339673
MarDB_GCF_003363135.1_ASM336313v1,99.48,3141,WGS,3290764
ProGenomes_1341155_PRJNA206421,99.65,2718,WGS,2894932
MarRef_Massilia_sp_YMA4,99.95,5360,WGS,6328781
ProGenomes_1121087_PRJNA185560,98.68,3362,WGS,3517177
MarDB_Roseivirga_sp_UBA6061,97.21,6765,MAG,8177411
MarRef_Nonlabens_spongiae_JCM_13191,98.49,3146,WGS,3393335
MarDB_Nitrospina_gracilis_3_211,94.87,2932,WGS,3077714
MarDB_Marinobacter_sp_X15-166B,100.0,3330,WGS,3490662
MarDB_GCA_003649225.1_ASM364922v1,79.69,1631,MAG,1378403
MAGsDB_DHXE01,90.34,3337,MAG,3317503
ProGenomes_1229780_PRJEB410,94.87,3957,WGS,4202896
MarDB_Gemmatimonas_sp_SG8_23,81.97,3085,WGS,3209540
MarRef_Francisella_sp_FDC440,99.15,1937,WGS,2054094
MarDB_GCA_003354145.1_ASM335414v1,98.45,6087,MAG,5421798
MAGsDB_NZGF01,92.2,2028,MAG,2388848
MarDB_GCA_003602455.1_ASM360245v1,76.34,1605,MAG,1863875
MarDB_GCA_003667185.1_ASM366718v1,96.3,4431,MAG,5134037
MarDB_Roseivirga_spongicola_UST030701-084,99.05,3991,WGS,4481100
MarRef_Arcanobacterium_phocae_strain_DSM_10002,98.85,1779,WGS,1998343
MarDB_Chlamydiae_bacterium_SM23_39,82.77,1112,WGS,1126605
MarDB_Desulfopila_aestuarii_DSM_18488,99.91,5323,WGS,6065582
MarRef_Vibrio_furnissii_NCTC_11218,99.88,4542,WGS,4916409
MarDB_GCA_003602605.1_ASM360260v1,80.74,1669,MAG,2023763
MarDB_Hyphomonas_sp_22II1-22F38,99.89,3515,WGS,3604441
MAGsDB_DGPX01,88.72,2219,MAG,2428419
MarDB_Marinilabilia_sp_UBA5340,91.82,3336,MAG,3983764
ProGenomes_1121422_PRJNA188862,99.91,3501,WGS,3465803
MAGsDB_PAYY01,95.6,2147,MAG,2450610
MAGsDB_TARA_MED_MAG_00060,77.14,1561,MAG,1624172
MarDB_GCF_003596335.1_ASM359633v1,100.0,4175,WGS,4542577
MarDB_Pseudospirillum_japonicum_strain_DSM_7165,96.89,2391,WGS,2744235
MarDB_Prochlorococcus_sp_AG-355-A09,92.03,1727,SAG,1516538
MarDB_Pseudoalteromonas_ruthenica_S3137,100.0,3715,WGS,4066636
MarDB_GCF_003402595.1_ASM340259v1,99.4,5769,WGS,6912677
MAGsDB_TARA_ASE_MAG_00008,90.14,1253,MAG,1160037
MAGsDB_NZNV01,100.0,3877,MAG,4460847
MarDB_Nitrosospira_sp_strain_SZUA-177,89.78,2249,MAG,2042535
MarDB_gamma_proteobacterium_BDW918,100.0,3881,WGS,4307746
MarDB_GCA_003543415.1_ASM354341v1,83.02,3323,MAG,3041048
MarRef_Tenacibaculum_sp_LPB0136,99.66,2714,WGS,3019214
MarDB_Oceanospirillum_beijerinckii,100.0,4548,WGS,5325322
MarDB_Halobellus_clavatus_strain_CGMCC_110118,98.92,3717,WGS,3754979
MarDB_Rhodopirellula_europaea_6C,98.17,5680,WGS,7191308
MarDB_Prochlorococcus_sp_AG-679-M23,99.73,1907,SAG,1645990
MarDB_Prochlorococcus_sp_AG-436-M02,77.33,1677,SAG,1501005
MarDB_Alphaproteobacteria_bacterium_UBA6062,88.81,4234,MAG,4072776
MarDB_Nitratireductor_pacificus_pht-3B,99.51,4236,WGS,4466206
ProGenomes_395961_PRJNA28337,99.29,5036,WGS,5374574
MarDB_Pelagibacteraceae_bacterium_AG-430-E20,90.6,1272,SAG,1183991
MAGsDB_DFNN01,94.67,1852,MAG,1776106
MarDB_Vibrio_sp_vnigr-6D03,98.61,5503,WGS,6308473
MarRef_Chromobacterium_sp_IIBBL_112_1,99.04,4425,WGS,4807151
MarDB_GCF_003347495.1_ASM334749v1,99.85,5319,WGS,6345032
MarDB_Desulfatitalea_tepidiphila,99.03,4998,WGS,5614478
MarDB_GCA_003650335.1_ASM365033v1,80.11,2111,MAG,2375070
MarDB_GCA_003601845.1_ASM360184v1,88.32,1482,MAG,1331265
MarDB_GCF_900446845.1_58635_H01,100.0,3903,WGS,4255539
MarDB_Kiritimatiellales_bacterium_strain_SZUA-494,85.98,2851,MAG,2999726
MarDB_GCF_900489485.1_Aequorivita_CIP107455T_annotated_assembly,99.62,3050,WGS,3305581
MarRef_Planococcus_maritimus_strain_DSM_17275,99.34,3237,WGS,3294582
MAGsDB_NYZX01,78.52,2868,MAG,2895142
MarDB_Marinilabilia_salmonicolor_JCM_21150_1,100.0,3962,WGS,4982628
MarRef_Arcticibacterium_luteifluviistationis,98.36,4432,WGS,5379839
MarDB_Polaribacter_irgensii_23-P,99.33,2420,WGS,2763459
MarDB_Erythrobacter_longus,99.59,3348,WGS,3602163
MAGsDB_NZMW01,99.61,3422,MAG,3953385
MAGsDB_NZIP01,90.64,2293,MAG,2479522
MarDB_uncultured_Thiohalocapsa_sp_PBPSB1,97.06,6822,MAG,6747582
MarDB_Prochlorococcus_sp_AG-402-N10,95.11,1773,SAG,1559102
MarDB_Pseudoalteromonas_citrea_NCIMB_1889,99.89,4550,WGS,5320015
MarRef_Flavobacterium_arcticum,99.65,2655,WGS,2970356
MarDB_GCA_003651155.1_ASM365115v1,81.53,1327,MAG,1168476
MAGsDB_NZZG01,87.72,4137,MAG,4316983
ProGenomes_395494_PRJNA32827,99.37,2927,WGS,3162471
MarDB_GCA_003545125.1_ASM354512v1,85.3,4496,MAG,4348554
MarDB_GCF_003665925.1_ASM366592v1,99.49,4149,WGS,3871390
MarDB_GCA_003649715.1_ASM364971v1,90.0,1525,MAG,1504696
MAGsDB_DFMO01,98.17,2464,MAG,2713065
MarRef_Roseovarius_sp_AK1035,99.3,4022,WGS,4203542
MarRef_Tenacibaculum_maritimum_strain_NCIMB_2154T,99.22,3055,WGS,3435971
ProGenomes_348780_PRJNA15742,99.72,2679,WGS,2595221
MarDB_Erythrobacter_nanhaisediminis_strain_CGMCC_17715,99.76,2846,WGS,2899439
MarDB_GCA_003650305.1_ASM365030v1,94.48,2716,MAG,2837339
MarDB_Haloferax_sp_SB3,99.44,3922,WGS,3901641
MarDB_Alphaproteobacteria_bacterium_MarineAlpha3_Bin7,96.92,2656,MAG,2578905
ProGenomes_870187_PRJNA51139,99.94,4674,WGS,4691711
MAGsDB_PABH01,99.09,5145,MAG,5885093
MarDB_Prochlorococcus_sp_AG-402-G22,87.6,1618,SAG,1455911
MAGsDB_PBTO01,82.3,2807,MAG,3019873
MarDB_GCF_003298775.1_ASM329877v1,98.8,3784,WGS,3872454
MAGsDB_DAHL01,80.76,973,MAG,975345
MarDB_GCA_003641745.1_ASM364174v1,91.16,3616,MAG,4314905
MarDB_Tenacibaculum_dicentrarchi_strain_TDCHD05,98.77,2486,WGS,2804033
MarDB_Acidithiobacillales_bacterium_SG8_45,84.45,2380,WGS,2283083
MAGsDB_PAXH01,99.29,3406,MAG,3595762
MarDB_Caloranaerobacter_sp_TR13,98.6,2204,WGS,2261882
MarDB_Lutibacter_flavus_DSM_27993,98.15,3387,WGS,3903672
MarDB_Photobacterium_sanguinicancri_CAIM_1827,99.46,5020,WGS,5475421
MarDB_Ruegeria_scottomollicae_strain_DSM_25328,99.69,4420,WGS,4677362
MarDB_GCF_003605635.1_ASM360563v1,99.63,3195,WGS,3009688
MAGsDB_DAJY01,82.4,1633,MAG,1810538
MarDB_Loktanella_vestfoldensis_SKA53,99.15,2991,WGS,3066853
MarDB_GCF_003710825.1_ASM371082v1,99.64,6142,WGS,6456133
MarRef_Saprospira_grandis_str_Lewin,100.0,3488,WGS,4400186
MarDB_Anabaena_sp_PCC_7108,99.63,5153,WGS,5886742
MarDB_Defluviimonas_denitrificans_strain_DSM_18921,99.7,4047,WGS,4107985
MarDB_Zetaproteobacteria_bacterium_strain_SZUA-181,96.22,2015,MAG,1877676
MarDB_Thermococcus_sp_EP1,98.51,1977,WGS,1819158
MAGsDB_PAHT02,94.77,2198,MAG,2235388
MAGsDB_TARA_PSE_MAG_00037,94.09,8423,MAG,10717318
MAGsDB_DELD01,89.78,2374,MAG,2460069
MarDB_Ilyobacter_polytropus_strain_SZUA-427,98.88,2438,MAG,2492525
MAGsDB_PBEP01,80.45,1282,MAG,1279897
MarDB_Prochlorococcus_sp_AG-670-N10,94.79,1662,SAG,1447806
MarDB_GCA_003354135.1_ASM335413v1,98.51,3244,MAG,3542425
MarDB_GCA_003650925.1_ASM365092v1,99.26,2388,MAG,2143158
MarDB_Kiritimatiellales_bacterium_strain_SZUA-127,92.4,1882,MAG,1903917
MAGsDB_PAGT01,84.56,1526,MAG,1565810
MarDB_Bacteroidetes_bacterium_strain_DOLZORAL124_51_6,77.77,2135,MAG,2526403
MarDB_Desulfobacter_hydrogenophilus_strain_DSM_3380,99.35,4421,WGS,4962092
MarDB_Palaeococcus_ferrophilus_DSM_13482,100.0,2350,WGS,2206431
MAGsDB_DBSX01,79.99,3163,MAG,3089464
MarDB_Tolumonas_sp_strain_SZUA-498,84.39,2940,MAG,2717329
MarRef_Halomonas_sp_SF2003_MMP08773154,99.07,3536,WGS,4358421
MarDB_Jannaschia_aquimarina_DSM_28248,98.33,4096,WGS,4117706
MarDB_Cohaesibacter_gelatinilyticus_strain_DSM_18289,98.8,4793,WGS,5198252
MarDB_Candidatus_Heimdallarchaeota_archaeon_B3-JM-08,93.69,3621,MAG,3948260
MarDB_Synechococcus_sp_AG-679-C18,87.57,2871,SAG,2626211
MarDB_Desulfobulbus_propionicus_strain_DOLJORAL78_50_64,82.62,1803,MAG,2001158
MAGsDB_PAUH01,75.02,1382,MAG,1552599
MarDB_Psychroserpens_damuponensis_JCM_17632,99.5,3582,WGS,3945765
MAGsDB_TARA_PON_MAG_00015,86.4,3953,MAG,4804116
MAGsDB_DDCY01,97.52,2310,MAG,2879887
MarDB_Mariniphaga_anaerophila_strain_DSM_26910,99.73,3978,WGS,5048303
MarDB_Methylophilaceae_bacterium_strain_NORP104,79.96,1804,MAG,1676455
MarDB_Prochlorococcus_sp_AG-355-P16,91.85,1745,SAG,1457356
MarDB_Candidatus_Scalindua_sp_husup-a2,95.45,4343,WGS,4812853
MarDB_Microbulbifer_donghaiensis_strain_CGMCC_17063,99.14,3654,WGS,4314258
MarDB_GCA_003353845.1_ASM335384v1,96.34,4883,MAG,4974420
MarDB_Roseovarius_atlanticus_R12b,99.45,4521,WGS,4578349
MarDB_Labilibaculum_filiforme_strain_59_16B,99.19,4128,WGS,5195448
MarDB_GCA_003535555.1_ASM353555v1,77.51,1671,MAG,1511483
MarDB_Roseobacter_sp_GAI101,99.36,4263,WGS,4527952
MarDB_Vibrio_aerogenes_CECT_7868,92.72,4619,WGS,5250261
MarDB_Pelagibacteraceae_bacterium_AG-333-C14,82.15,1247,SAG,1189654
ProGenomes_717785_PRJNA67153,100.0,4619,WGS,4757528
MarDB_GCF_003814915.1_ASM381491v1,98.18,2951,WGS,3084248
MarDB_Algoriphagus_ornithinivorans_strain_DSM_15282,100.0,3580,WGS,4093443
MAGsDB_TARA_ION_MAG_00023,98.05,2862,MAG,3076003
MarDB_Photobacterium_swingsii,98.34,5486,WGS,5523520
MAGsDB_DALZ01,80.73,1486,MAG,1622264
MarDB_GCF_003584965.1_ASM358496v1,99.46,3748,WGS,4103674
MAGsDB_PBLK01,88.63,1664,MAG,1715815
MarRef_Ignicoccus_hospitalis_KIN4_I,99.37,1490,WGS,1297539
MarDB_Colwellia_sp_75C3,99.66,4493,WGS,5407224
MarDB_Arthrobacter_subterraneus_strain_NP_1H,99.54,3646,WGS,3871382
MarDB_Halobacillus_kuroshimensis,100.0,3935,WGS,3845570
MarDB_Marinobacter_sp_NH169-3,100.0,3844,WGS,4125126
MAGsDB_PBFB01,83.8,2354,MAG,2695991
MarDB_GCA_003454605.1_ASM345460v1,77.25,3475,MAG,3345643
MarRef_Lacinutrix_venerupis_DOK2-8,99.67,2827,WGS,3192399
MarDB_Domibacillus_indicus_SD_111,98.68,3544,WGS,3604248
MAGsDB_NHDB01,86.02,1679,MAG,1767959
MarDB_Maribacter_arcticus_DSM_23546,99.5,3738,WGS,4211145
MarRef_Hirschia_baltica_ATCC_49814,99.57,3213,WGS,3540115
MarDB_GCF_003335505.1_ASM333550v1,98.78,5179,WGS,6287921
MarDB_Synechococcus_sp_BL107,99.46,2517,WGS,2285035
MAGsDB_TARA_ANW_MAG_00057,92.98,1949,MAG,1981511
MarDB_GCF_003634285.1_ASM363428v1,99.95,3836,WGS,4561795
MarDB_GCA_003660605.1_ASM366060v1,78.69,1512,MAG,1173946
MAGsDB_TARA_PSW_MAG_00017,98.25,5900,MAG,5964731
MarDB_GCA_003663445.1_ASM366344v1,76.95,801,MAG,574541
MarDB_Janibacter_corallicola,99.55,3057,WGS,3108579
MarDB_Pseudomonas_stutzeri_strain_ST27MN3,100.0,4319,WGS,4671675
MarDB_Providencia_rustigianii_strain_NCTC11667,100.0,3571,WGS,3853167
MAGsDB_DBNJ01,97.28,3060,MAG,3351562
MarRef_Kytococcus_sedentarius_DSM_20547,94.68,2624,WGS,2785025
MarDB_Bacillus_sp_XY-L28,98.36,4053,WGS,4063863
MarDB_Prochlorococcus_sp_AG-436-D21,75.41,1368,SAG,1162959
MAGsDB_DJKZ01,87.91,1774,MAG,1861326
MarDB_Arcobacter_sp_strain_NORP14,98.37,3212,MAG,3146531
MarDB_Haloferax_sp_SB29,98.6,4341,WGS,3830760
MarDB_Sphingopyxis_baekryungensis,99.82,2895,WGS,3068209
ProGenomes_1148_PRJNA60,99.78,3309,WGS,3573470
MarDB_GCA_003485905.1_ASM348590v1,75.21,2834,MAG,2650097
MarDB_Ruegeria_meonggei_CECT_8411,99.57,4498,WGS,4543068
